n_nodes,dataset,seed,elapsed_time
5,cancer,7816,0.008469820022583008
5,cancer,3578,0.007919549942016602
5,cancer,2656,0.004750967025756836
5,cancer,2688,0.007810115814208984
5,cancer,2494,0.007796764373779297
5,cancer,183,0.004715681076049805
5,cancer,7977,0.007818222045898438
5,cancer,3199,0.004689693450927734
5,cancer,316,0.0077593326568603516
5,cancer,8266,0.00781869888305664
5,cancer,1532,0.004649639129638672
5,cancer,1009,0.007732868194580078
5,cancer,2250,0.007769107818603516
5,cancer,4447,0.004688739776611328
5,cancer,2415,0.0077304840087890625
5,cancer,3595,0.007849454879760742
5,cancer,4187,0.007776975631713867
5,cancer,4135,0.007937431335449219
5,cancer,5174,0.007997274398803711
5,cancer,5303,0.007873058319091797
5,cancer,3942,0.009244203567504883
5,cancer,2778,0.007781267166137695
5,cancer,2804,0.0047032833099365234
5,cancer,2145,0.007833719253540039
5,cancer,150,0.007796049118041992
5,cancer,8823,0.007801055908203125
5,cancer,4669,0.007756471633911133
5,cancer,6131,0.004775285720825195
5,cancer,2617,0.007769346237182617
5,cancer,7166,0.008959293365478516
5,cancer,1428,0.007788658142089844
5,cancer,8328,0.007721424102783203
5,cancer,8289,0.007829666137695312
5,cancer,5978,0.0046770572662353516
5,cancer,5511,0.007722377777099609
5,cancer,5864,0.007764339447021484
5,cancer,606,0.00777888298034668
5,cancer,1933,0.007788181304931641
5,cancer,6071,0.005457401275634766
5,cancer,5504,0.004682779312133789
5,cancer,5163,0.004701852798461914
5,cancer,2406,0.0047495365142822266
5,cancer,304,0.00781393051147461
5,cancer,3391,0.007793426513671875
5,cancer,359,0.004689693450927734
5,cancer,9096,0.007770061492919922
5,cancer,3533,0.007765054702758789
5,cancer,4125,0.0077610015869140625
5,cancer,3094,0.007756471633911133
5,cancer,6398,0.0046885013580322266
5,earthquake,7816,0.009418249130249023
5,earthquake,3578,0.010397672653198242
5,earthquake,2656,0.011041641235351562
5,earthquake,2688,0.009418725967407227
5,earthquake,2494,0.010184764862060547
5,earthquake,183,0.010441303253173828
5,earthquake,7977,0.009442567825317383
5,earthquake,3199,0.010470867156982422
5,earthquake,316,0.010208606719970703
5,earthquake,8266,0.01022958755493164
5,earthquake,1532,0.009413003921508789
5,earthquake,1009,0.010431289672851562
5,earthquake,2250,0.009423971176147461
5,earthquake,4447,0.010422945022583008
5,earthquake,2415,0.010215520858764648
5,earthquake,3595,0.009409666061401367
5,earthquake,4187,0.010382413864135742
5,earthquake,4135,0.01025843620300293
5,earthquake,5174,0.010204553604125977
5,earthquake,5303,0.010165214538574219
5,earthquake,3942,0.010267257690429688
5,earthquake,2778,0.01025843620300293
5,earthquake,2804,0.01073002815246582
5,earthquake,2145,0.010458946228027344
5,earthquake,150,0.010188817977905273
5,earthquake,8823,0.010192394256591797
5,earthquake,4669,0.009455680847167969
5,earthquake,6131,0.00937962532043457
