n_nodes,n_edges,seed,elapsed_time
3,3,7816,0.0026214122772216797
3,3,3578,0.0020270347595214844
3,3,2656,0.0019414424896240234
3,3,2688,0.001840829849243164
3,3,2494,0.0018353462219238281
3,3,183,0.0018465518951416016
3,3,7977,0.0018243789672851562
3,3,3199,0.0018210411071777344
3,3,316,0.0013530254364013672
3,3,8266,0.0013129711151123047
3,3,1532,0.0018918514251708984
3,3,1009,0.0018334388732910156
3,3,2250,0.0018124580383300781
3,3,4447,0.0018055438995361328
3,3,2415,0.0018181800842285156
3,3,3595,0.0018229484558105469
3,3,4187,0.0018513202667236328
3,3,4135,0.0018115043640136719
3,3,5174,0.0019006729125976562
3,3,5303,0.0019159317016601562
3,3,3942,0.0018055438995361328
3,3,2778,0.0018663406372070312
3,3,2804,0.0018737316131591797
3,3,2145,0.0018482208251953125
3,3,150,0.0019025802612304688
3,3,8823,0.0017826557159423828
3,3,4669,0.0018222332000732422
3,3,6131,0.0018010139465332031
3,3,2617,0.0018029212951660156
3,3,7166,0.0013184547424316406
3,3,1428,0.0018160343170166016
3,3,8328,0.001809835433959961
3,3,8289,0.0018770694732666016
3,3,5978,0.0013041496276855469
3,3,5511,0.0018079280853271484
3,3,5864,0.0017857551574707031
3,3,606,0.0017807483673095703
3,3,1933,0.0018470287322998047
3,3,6071,0.0017862319946289062
3,3,5504,0.001781463623046875
3,3,5163,0.0018620491027832031
3,3,2406,0.0018143653869628906
3,3,304,0.0018012523651123047
3,3,3391,0.0018968582153320312
3,3,359,0.0018041133880615234
3,3,9096,0.0018239021301269531
3,3,3533,0.001865386962890625
3,3,4125,0.0018732547760009766
3,3,3094,0.0018150806427001953
3,3,6398,0.0018155574798583984
4,4,7816,0.003322124481201172
4,4,3578,0.004441261291503906
4,4,2656,0.0041201114654541016
4,4,2688,0.004266977310180664
4,4,2494,0.004467964172363281
4,4,183,0.004471778869628906
4,4,7977,0.004787445068359375
4,4,3199,0.0044443607330322266
4,4,316,0.004107236862182617
4,4,8266,0.004088640213012695
4,4,1532,0.004391670227050781
4,4,1009,0.0035276412963867188
4,4,2250,0.002398252487182617
4,4,4447,0.0035161972045898438
4,4,2415,0.002377033233642578
4,4,3595,0.004377603530883789
4,4,4187,0.0032515525817871094
4,4,4135,0.0024268627166748047
4,4,5174,0.002318143844604492
4,4,5303,0.004418373107910156
4,4,3942,0.004132747650146484
4,4,2778,0.00440526008605957
4,4,2804,0.00418543815612793
4,4,2145,0.0034804344177246094
4,4,150,0.00408935546875
4,4,8823,0.004206418991088867
4,4,4669,0.0034656524658203125
4,4,6131,0.004381895065307617
4,4,2617,0.0041866302490234375
4,4,7166,0.002423524856567383
4,4,1428,0.0044176578521728516
4,4,8328,0.003920555114746094
4,4,8289,0.0036993026733398438
4,4,5978,0.00444340705871582
4,4,5511,0.0044994354248046875
4,4,5864,0.004132747650146484
4,4,606,0.003473043441772461
4,4,1933,0.004396200180053711
4,4,6071,0.002409696578979492
4,4,5504,0.0040857791900634766
4,4,5163,0.004190921783447266
