nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,best_I
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,7816,5,12.234522104263306,0.9079210758209229,True,original,original,0.6779060363769531,0.0549626350402832,21.40203993242775
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,7816,5,12.234522104263306,0.9079210758209229,True,original,refined_indep_facts,0.6779060363769531,0.03784823417663574,2.2123965085246913
7,0.5714,0.75,0.6667,0.2857,0.5,0.3636,5.0,8.0,14.0,cancer,7816,5,12.234522104263306,0.9079210758209229,True,original,arrows_sum,0.6779060363769531,0.022328615188598633,3.5144151201072242
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,7816,5,12.234522104263306,0.9079210758209229,True,original,arrows_mean,0.6779060363769531,0.022565364837646484,0.5082324949320873
2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0,cancer,7816,5,12.234522104263306,0.9079210758209229,True,refined_indep_facts,original,0.02287912368774414,0.025342464447021484,7.3418260321027375
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,7816,5,12.234522104263306,0.9079210758209229,True,refined_indep_facts,refined_indep_facts,0.02287912368774414,0.017002582550048828,3.961370567338095
2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0,cancer,7816,5,12.234522104263306,0.9079210758209229,True,refined_indep_facts,arrows_sum,0.02287912368774414,0.010817527770996094,1.0329269871307463
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,7816,5,12.234522104263306,0.9079210758209229,True,refined_indep_facts,arrows_mean,0.02287912368774414,0.010879278182983398,0.5164650391347272
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,3578,5,12.234522104263306,0.9266953468322754,True,original,original,0.6485402584075928,0.008450031280517578,20.84698870684173
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,3578,5,12.234522104263306,0.9266953468322754,True,original,refined_indep_facts,0.6485402584075928,0.0059299468994140625,2.3151079173901894
5,0.4,0.75,0.3333,0.6,0.75,0.6667,2.0,4.0,14.0,cancer,3578,5,12.234522104263306,0.9266953468322754,True,original,arrows_sum,0.6485402584075928,0.0032525062561035156,2.540851073802105
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,3578,5,12.234522104263306,0.9266953468322754,True,original,arrows_mean,0.6485402584075928,0.0032355785369873047,0.5098900091301566
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,3578,5,12.234522104263306,0.9266953468322754,True,refined_indep_facts,original,0.022828102111816406,0.021949291229248047,-2.516941037449935
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,3578,5,12.234522104263306,0.9266953468322754,True,refined_indep_facts,refined_indep_facts,0.022828102111816406,0.015515327453613281,4.365709793704913
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,3578,5,12.234522104263306,0.9266953468322754,True,refined_indep_facts,arrows_sum,0.022828102111816406,0.00984954833984375,0.5197827474540051
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,3578,5,12.234522104263306,0.9266953468322754,True,refined_indep_facts,arrows_mean,0.022828102111816406,0.009902238845825195,0.5197827474540051
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,2656,5,12.234522104263306,0.9216527938842773,True,original,original,0.25699567794799805,0.0027005672454833984,12.970898558540739
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,2656,5,12.234522104263306,0.9216527938842773,True,original,refined_indep_facts,0.25699567794799805,0.0019347667694091797,2.8585010909340074
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,2656,5,12.234522104263306,0.9216527938842773,True,original,arrows_sum,0.25699567794799805,0.0011713504791259766,1.5445553448915865
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,2656,5,12.234522104263306,0.9216527938842773,True,original,arrows_mean,0.25699567794799805,0.0012493133544921875,0.5148517816305288
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2656,5,12.234522104263306,0.9216527938842773,True,refined_indep_facts,original,0.022057533264160156,0.013569355010986328,3.779869565100819
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2656,5,12.234522104263306,0.9216527938842773,True,refined_indep_facts,refined_indep_facts,0.022057533264160156,0.01153874397277832,3.884442755707084
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2656,5,12.234522104263306,0.9216527938842773,True,refined_indep_facts,arrows_sum,0.022057533264160156,0.007346391677856445,0.5148528008201898
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2656,5,12.234522104263306,0.9216527938842773,True,refined_indep_facts,arrows_mean,0.022057533264160156,0.007410287857055664,0.5148528008201898
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2688,5,12.234522104263306,0.9177722930908203,True,original,original,0.7243397235870361,0.026241302490234375,20.660267111275942
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2688,5,12.234522104263306,0.9177722930908203,True,original,refined_indep_facts,0.7243397235870361,0.01670360565185547,2.5027355469428127
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,8.0,cancer,2688,5,12.234522104263306,0.9177722930908203,True,original,arrows_sum,0.7243397235870361,0.009187698364257812,3.0721137858211014
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2688,5,12.234522104263306,0.9177722930908203,True,original,arrows_mean,0.7243397235870361,0.009305715560913086,0.5173456529001679
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,2688,5,12.234522104263306,0.9177722930908203,True,refined_indep_facts,original,0.022576332092285156,0.02135443687438965,-1.2242882543419336
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2688,5,12.234522104263306,0.9177722930908203,True,refined_indep_facts,refined_indep_facts,0.022576332092285156,0.015567302703857422,4.803850761556097
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,2688,5,12.234522104263306,0.9177722930908203,True,refined_indep_facts,arrows_sum,0.022576332092285156,0.00963735580444336,0.5173585491930961
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,2688,5,12.234522104263306,0.9177722930908203,True,refined_indep_facts,arrows_mean,0.022576332092285156,0.009340524673461914,0.5173585491930961
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,2494,5,12.234522104263306,0.9185216426849365,True,original,original,0.6925108432769775,0.09049844741821289,21.03855615470341
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,2494,5,12.234522104263306,0.9185216426849365,True,original,refined_indep_facts,0.6925108432769775,0.06432223320007324,2.451674940806532
7,0.5714,0.75,0.6667,0.4286,0.75,0.5455,4.0,5.0,7.0,cancer,2494,5,12.234522104263306,0.9185216426849365,True,original,arrows_sum,0.6925108432769775,0.0360112190246582,3.6131188640764496
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2494,5,12.234522104263306,0.9185216426849365,True,original,arrows_mean,0.6925108432769775,0.03717923164367676,0.5170283848313891
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,2494,5,12.234522104263306,0.9185216426849365,True,refined_indep_facts,original,0.022950410842895508,0.021359920501708984,-1.9953394480290942
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2494,5,12.234522104263306,0.9185216426849365,True,refined_indep_facts,refined_indep_facts,0.022950410842895508,0.01567220687866211,4.492111018172269
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,2494,5,12.234522104263306,0.9185216426849365,True,refined_indep_facts,arrows_sum,0.022950410842895508,0.009797811508178711,0.5170404080550204
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,2494,5,12.234522104263306,0.9185216426849365,True,refined_indep_facts,arrows_mean,0.022950410842895508,0.009737730026245117,0.5170404080550204
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,183,5,12.234522104263306,0.9274539947509766,True,original,original,0.3322288990020752,0.005953550338745117,12.473888911317365
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,183,5,12.234522104263306,0.9274539947509766,True,original,refined_indep_facts,0.3322288990020752,0.005785226821899414,2.676676835429947
4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,15.0,cancer,183,5,12.234522104263306,0.9274539947509766,True,original,arrows_sum,0.3322288990020752,0.0031812191009521484,2.014099127158508
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,183,5,12.234522104263306,0.9274539947509766,True,original,arrows_mean,0.3322288990020752,0.003244161605834961,0.5039067222739367
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,183,5,12.234522104263306,0.9274539947509766,True,refined_indep_facts,original,0.021901845932006836,0.013866424560546875,3.3163089525239293
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,183,5,12.234522104263306,0.9274539947509766,True,refined_indep_facts,refined_indep_facts,0.021901845932006836,0.012284040451049805,3.675567911397879
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,183,5,12.234522104263306,0.9274539947509766,True,refined_indep_facts,arrows_sum,0.021901845932006836,0.007417917251586914,0.5039069146160928
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,183,5,12.234522104263306,0.9274539947509766,True,refined_indep_facts,arrows_mean,0.021901845932006836,0.0076715946197509766,0.5039069146160928
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,7977,5,12.234522104263306,0.9302210807800293,True,original,original,0.7056887149810791,0.21950364112854004,21.531151773659246
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,7977,5,12.234522104263306,0.9302210807800293,True,original,refined_indep_facts,0.7056887149810791,0.14827275276184082,2.0273077769771137
8,0.625,0.75,0.8333,0.375,0.75,0.5,5.0,4.0,11.0,cancer,7977,5,12.234522104263306,0.9302210807800293,True,original,arrows_sum,0.7056887149810791,0.08598089218139648,4.055792664134488
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,14.0,cancer,7977,5,12.234522104263306,0.9302210807800293,True,original,arrows_mean,0.7056887149810791,0.08717155456542969,0.5108608425389158
2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,cancer,7977,5,12.234522104263306,0.9302210807800293,True,refined_indep_facts,original,0.0229799747467041,0.029148340225219727,7.036989713003441
2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,cancer,7977,5,12.234522104263306,0.9302210807800293,True,refined_indep_facts,refined_indep_facts,0.0229799747467041,0.019732236862182617,3.678202896917349
2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,cancer,7977,5,12.234522104263306,0.9302210807800293,True,refined_indep_facts,arrows_sum,0.0229799747467041,0.012609243392944336,1.0
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,7977,5,12.234522104263306,0.9302210807800293,True,refined_indep_facts,arrows_mean,0.0229799747467041,0.012751579284667969,0.513431821774486
3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0,cancer,3199,5,12.234522104263306,0.9237778186798096,True,original,original,0.2819371223449707,0.0028040409088134766,12.410144358776307
3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0,cancer,3199,5,12.234522104263306,0.9237778186798096,True,original,refined_indep_facts,0.2819371223449707,0.001989126205444336,2.760634832694857
3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0,cancer,3199,5,12.234522104263306,0.9237778186798096,True,original,arrows_sum,0.2819371223449707,0.0012326240539550781,1.5230999080372571
3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0,cancer,3199,5,12.234522104263306,0.9237778186798096,True,original,arrows_mean,0.2819371223449707,0.0012257099151611328,0.5076999693457523
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,3199,5,12.234522104263306,0.9237778186798096,True,refined_indep_facts,original,0.022718429565429688,0.01548624038696289,3.6431158847494465
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,3199,5,12.234522104263306,0.9237778186798096,True,refined_indep_facts,refined_indep_facts,0.022718429565429688,0.012340307235717773,3.7782071850409533
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,3199,5,12.234522104263306,0.9237778186798096,True,refined_indep_facts,arrows_sum,0.022718429565429688,0.007143259048461914,0.5230979595428887
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,3199,5,12.234522104263306,0.9237778186798096,True,refined_indep_facts,arrows_mean,0.022718429565429688,0.0073528289794921875,0.5230979595428887
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,316,5,12.234522104263306,0.9275481700897217,True,original,original,0.5504183769226074,0.06500434875488281,20.602028429515425
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,316,5,12.234522104263306,0.9275481700897217,True,original,refined_indep_facts,0.5504183769226074,0.044504642486572266,2.241394709939927
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,18.0,cancer,316,5,12.234522104263306,0.9275481700897217,True,original,arrows_sum,0.5504183769226074,0.027096271514892578,3.0736027888537096
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,316,5,12.234522104263306,0.9275481700897217,True,original,arrows_mean,0.5504183769226074,0.02636122703552246,0.5172944380563222
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,316,5,12.234522104263306,0.9275481700897217,True,refined_indep_facts,original,0.02328777313232422,0.021416902542114258,-2.450064707036298
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,316,5,12.234522104263306,0.9275481700897217,True,refined_indep_facts,refined_indep_facts,0.02328777313232422,0.015818119049072266,4.235941515433849
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,316,5,12.234522104263306,0.9275481700897217,True,refined_indep_facts,arrows_sum,0.02328777313232422,0.009105443954467773,0.5173104104736024
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,316,5,12.234522104263306,0.9275481700897217,True,refined_indep_facts,arrows_mean,0.02328777313232422,0.00937795639038086,0.5173104104736024
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,8266,5,12.234522104263306,0.9243848323822021,True,original,original,0.6661055088043213,0.08658242225646973,20.683273840009477
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,8266,5,12.234522104263306,0.9243848323822021,True,original,refined_indep_facts,0.6661055088043213,0.059246063232421875,2.1594484658643367
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,8.0,cancer,8266,5,12.234522104263306,0.9243848323822021,True,original,arrows_sum,0.6661055088043213,0.03427839279174805,3.0697186007732484
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,8266,5,12.234522104263306,0.9243848323822021,True,original,arrows_mean,0.6661055088043213,0.035218000411987305,0.5169861178660178
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,8266,5,12.234522104263306,0.9243848323822021,True,refined_indep_facts,original,0.022826194763183594,0.021240234375,-2.9151734100219273
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,8266,5,12.234522104263306,0.9243848323822021,True,refined_indep_facts,refined_indep_facts,0.022826194763183594,0.015248298645019531,4.2191281777251834
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,8266,5,12.234522104263306,0.9243848323822021,True,refined_indep_facts,arrows_sum,0.022826194763183594,0.009654998779296875,0.5170072547159886
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,8266,5,12.234522104263306,0.9243848323822021,True,refined_indep_facts,arrows_mean,0.022826194763183594,0.009818077087402344,0.5170072547159886
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,11.0,cancer,1532,5,12.234522104263306,0.9279475212097168,True,original,original,0.4232065677642822,0.01982855796813965,11.765436872922546
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,11.0,cancer,1532,5,12.234522104263306,0.9279475212097168,True,original,refined_indep_facts,0.4232065677642822,0.016088247299194336,2.5921924788737094
5,0.4,0.75,0.3333,0.6,0.75,0.6667,2.0,5.0,10.0,cancer,1532,5,12.234522104263306,0.9279475212097168,True,original,arrows_sum,0.4232065677642822,0.009213924407958984,2.5017087783339638
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,1532,5,12.234522104263306,0.9279475212097168,True,original,arrows_mean,0.4232065677642822,0.009433507919311523,0.5003702779211492
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,1532,5,12.234522104263306,0.9279475212097168,True,refined_indep_facts,original,0.021999359130859375,0.014456987380981445,3.167752278329086
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,1532,5,12.234522104263306,0.9279475212097168,True,refined_indep_facts,refined_indep_facts,0.021999359130859375,0.011969804763793945,3.6048677186489524
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,1532,5,12.234522104263306,0.9279475212097168,True,refined_indep_facts,arrows_sum,0.021999359130859375,0.007426261901855469,0.5007642068074145
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,1532,5,12.234522104263306,0.9279475212097168,True,refined_indep_facts,arrows_mean,0.021999359130859375,0.007429599761962891,0.5007642068074145
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,1009,5,12.234522104263306,0.9270913600921631,True,original,original,0.4301564693450928,0.0021009445190429688,20.88336932567718
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,1009,5,12.234522104263306,0.9270913600921631,True,original,refined_indep_facts,0.4301564693450928,0.0018353462219238281,2.42276493710957
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,1009,5,12.234522104263306,0.9270913600921631,True,original,arrows_sum,0.4301564693450928,0.001100301742553711,2.0444390016927785
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,1009,5,12.234522104263306,0.9270913600921631,True,original,arrows_mean,0.4301564693450928,0.001129150390625,0.5111097504231946
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,1009,5,12.234522104263306,0.9270913600921631,True,refined_indep_facts,original,0.022829294204711914,0.021815776824951172,-1.9890451243573564
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,1009,5,12.234522104263306,0.9270913600921631,True,refined_indep_facts,refined_indep_facts,0.022829294204711914,0.016199827194213867,4.5524563050043
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,1009,5,12.234522104263306,0.9270913600921631,True,refined_indep_facts,arrows_sum,0.022829294204711914,0.009386062622070312,0.5222178827702906
