nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7816,5,12.333260297775269,0.9058670997619629,True,original,original,0.7786872386932373,0.056292057037353516,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",21.40203993242775
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7816,5,12.333260297775269,0.9058670997619629,True,original,refined_indep_facts,0.7786872386932373,0.036511898040771484,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.2123595981737942
7,0.7143,0.5,0.8333,0.2857,0.5,0.3636,5.0,9.0,cancer,7816,5,12.333260297775269,0.9058670997619629,True,original,arrows_sum,0.7786872386932373,0.02299332618713379,7,"frozenset({(0, 4), (4, 3), (0, 3), (2, 0), (2, 3), (1, 0), (1, 3)})",3.514411557572171
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7816,5,12.333260297775269,0.9058670997619629,True,original,arrows_mean,0.7786872386932373,0.022361278533935547,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",0.508232497911183
2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,cancer,7816,5,12.333260297775269,0.9058670997619629,True,refined_indep_facts,original,0.02289581298828125,0.025210857391357422,2,"frozenset({(1, 0), (3, 0)})",7.3418260321027375
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,7816,5,12.333260297775269,0.9058670997619629,True,refined_indep_facts,refined_indep_facts,0.02289581298828125,0.018172264099121094,1,"frozenset({(3, 0)})",3.9613347208468044
2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,cancer,7816,5,12.333260297775269,0.9058670997619629,True,refined_indep_facts,arrows_sum,0.02289581298828125,0.011330604553222656,2,"frozenset({(1, 0), (3, 0)})",1.0329269871307463
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,7816,5,12.333260297775269,0.9058670997619629,True,refined_indep_facts,arrows_mean,0.02289581298828125,0.010721921920776367,1,"frozenset({(2, 0)})",0.5164650510511097
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,3578,5,12.333260297775269,0.9112796783447266,True,original,original,0.6467709541320801,0.007964849472045898,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",20.84698870684173
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,3578,5,12.333260297775269,0.9112796783447266,True,original,refined_indep_facts,0.6467709541320801,0.005831718444824219,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.3160541689680825
