nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
5,1.0,0.0,0.0294,0.0,0.0,,24.0,178.0,178.0,random_graph_20_20,7816,20,20,4,4,1,3,1,10,195.8942425251007,940.3976414203644,True,v2,original_ranking,5,"[(17, 15), (10, 15), (6, 15), (8, 9), (12, 9)]",0.1424365043640136,28.25133752822876,60.883887655099294
0,0.0,0.0,0.0,,0.0,,20.0,134.0,134.0,random_graph_20_20,3578,20,20,4,4,1,3,1,10,195.8942425251007,944.7059192657472,True,v2,original_ranking,0,[],0.2013633251190185,34.11690282821655,-180.3514367955884
2,0.0,0.1,0.0,1.0,0.1,0.1818,18.0,157.0,157.0,random_graph_20_20,2656,20,20,4,4,1,3,1,10,195.8942425251007,944.8464410305024,True,v2,original_ranking,2,"[(4, 12), (9, 12)]",0.2310826778411865,39.78350853919983,-98.43296657363604
5,0.6,0.1,0.0176,0.2,0.05,0.08,19.0,96.0,110.0,random_graph_20_20,2688,20,20,4,4,1,3,1,10,195.8942425251007,945.4407205581664,True,v2,original_ranking,5,"[(7, 9), (13, 9), (15, 6), (2, 6), (16, 8)]",0.1790542602539062,34.89227080345154,186.25601772727
1,0.0,0.05,0.0,0.0,0.0,,20.0,76.0,84.0,random_graph_20_20,2494,20,20,4,4,1,3,1,10,195.8942425251007,944.3383116722108,True,v2,original_ranking,1,"[(2, 18)]",0.0774080753326416,16.71768093109131,54.65361232325277
4,0.75,0.05,0.0176,0.25,0.05,0.0833,19.0,160.0,160.0,random_graph_20_20,183,20,20,4,4,1,3,1,10,195.8942425251007,942.9831521511078,True,v2,original_ranking,4,"[(8, 12), (13, 12), (6, 0), (3, 0)]",0.1170742511749267,24.6784086227417,35.467212369504715
0,0.0,0.0,0.0,,0.0,,20.0,83.0,83.0,random_graph_20_20,7977,20,20,4,4,1,3,1,10,195.8942425251007,934.4930028915404,True,v2,original_ranking,0,[],0.1591730117797851,28.90938663482666,-27.90311119573973
2,1.0,0.0,0.0118,0.0,0.0,,22.0,108.0,108.0,random_graph_20_20,3199,20,20,4,4,1,3,1,10,195.8942425251007,920.249323129654,True,v2,original_ranking,2,"[(3, 18), (3, 11)]",0.1327087879180908,26.44162511825561,34.89832196856148
7,0.7143,0.1,0.0294,0.2857,0.1,0.1481,23.0,131.0,146.0,random_graph_20_20,316,20,20,4,4,1,3,1,10,195.8942425251007,918.863691329956,True,v2,original_ranking,7,"[(3, 7), (12, 7), (5, 1), (0, 1), (2, 5), (7, 5), (12, 11)]",0.1680412292480468,33.04353952407837,-133.3058232149758
2,0.5,0.05,0.0059,0.5,0.05,0.0909,20.0,165.0,169.0,random_graph_20_20,8266,20,20,4,4,1,3,1,10,195.8942425251007,918.1234633922577,True,v2,original_ranking,2,"[(7, 13), (5, 9)]",0.08053874969482422,17.49081516265869,60.30504245499738
