nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,7816,5,0.11648988723754883,0.9943373203277588,True,v2,original_ranking,4,"[(2, 0), (1, 0), (4, 0), (3, 0)]",0,1.3642029762268066,21.245104067849834
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,3578,5,0.11648988723754883,0.9916291236877441,True,v2,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0,1.3815412521362305,20.714497729544444
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,11.0,cancer,2656,5,0.11648988723754883,1.0105233192443848,True,v2,original_ranking,3,"[(4, 0), (3, 0), (0, 1)]",0,0.8313038349151611,11.314269935580253
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,2688,5,0.11648988723754883,0.9806313514709473,True,v2,original_ranking,4,"[(4, 0), (3, 0), (1, 0), (0, 2)]",0,1.3546953201293945,18.767521510782146
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2494,5,0.11648988723754883,1.0004112720489502,True,v2,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0,1.364234447479248,20.7727730518701
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,183,5,0.11648988723754883,0.9864192008972168,True,v2,original_ranking,3,"[(3, 0), (1, 0), (4, 0)]",0,0.8282828330993652,12.473888911317365
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,14.0,cancer,7977,5,0.11648988723754883,0.998366117477417,True,v2,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (3, 0), (4, 3)]",0,1.3790643215179443,20.901731791872194
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,3199,5,0.11648988723754883,0.9926128387451172,True,v2,original_ranking,3,"[(3, 0), (1, 0), (4, 0)]",0,0.831230640411377,12.257102605310969
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,316,5,0.11648988723754883,0.982356071472168,True,v2,original_ranking,4,"[(4, 0), (2, 0), (3, 0), (1, 0)]",0,1.0207593441009521,20.602028429515425
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,8266,5,0.11648988723754883,0.978264331817627,True,v2,original_ranking,4,"[(3, 0), (2, 0), (4, 0), (1, 0)]",0,1.0336086750030518,20.683273840009477
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,1532,5,0.11648988723754883,0.9896831512451172,True,v2,original_ranking,3,"[(4, 0), (3, 0), (1, 0)]",0,0.8293774127960205,11.696789323266625
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,1009,5,0.11648988723754883,1.0059051513671875,True,v2,original_ranking,4,"[(4, 0), (1, 0), (3, 0), (2, 0)]",0,1.3642778396606445,20.773878518004352
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2250,5,0.11648988723754883,0.9960250854492188,True,v2,original_ranking,4,"[(3, 0), (2, 0), (4, 0), (1, 0)]",0,1.35835599899292,20.192058242016035
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,4447,5,0.11648988723754883,0.9914121627807617,True,v2,original_ranking,3,"[(4, 0), (3, 0), (1, 0)]",0,0.8253364562988281,11.499104853256062
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2415,5,0.11648988723754883,0.9962577819824219,True,v2,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (3, 0)]",0,1.3765087127685547,20.891249902351056
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,3595,5,0.11648988723754883,1.002882480621338,True,v2,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (3, 0)]",0,1.3799450397491455,21.78766985455563
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,4187,5,0.11648988723754883,0.9895198345184326,True,v2,original_ranking,4,"[(4, 0), (2, 0), (3, 0), (1, 0)]",0,1.0182747840881348,20.89573519146757
