nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,cancer,7816,5,0.09893465042114258,0.5078091621398926,True,v2,original_ranking,5,"[(1, 3), (0, 4), (0, 3), (0, 1), (0, 2)]",0,1.8783397674560547,19.59223091198125
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,3578,5,0.09893465042114258,0.5069131851196289,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.8865342140197754,19.183079703344053
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,2656,5,0.09893465042114258,0.46569061279296875,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1303982734680176,10.825485407588843
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,2688,5,0.09893465042114258,0.5096092224121094,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.877948522567749,18.79932549645801
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,2494,5,0.09893465042114258,0.5076553821563721,True,v2,original_ranking,4,"[(0, 3), (0, 2), (0, 4), (0, 1)]",0,1.878812313079834,19.226991790950688
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,183,5,0.09893465042114258,0.46399378776550293,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1313462257385254,11.187420068695685
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,7977,5,0.09893465042114258,0.520484209060669,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 2), (0, 1)]",0,1.8870649337768555,21.00262410289887
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,3199,5,0.09893465042114258,0.47386622428894043,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.15968656539917,11.417328149032326
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,316,5,0.09893465042114258,0.5087902545928955,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.8784539699554443,18.25622623435301
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,8266,5,0.09893465042114258,0.5072576999664307,True,v2,original_ranking,4,"[(0, 3), (0, 4), (0, 1), (0, 2)]",0,1.8748600482940674,19.315298742873914
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,1532,5,0.09893465042114258,0.46553587913513184,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.143113613128662,10.981944039367253
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,1009,5,0.09893465042114258,0.5183217525482178,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.8864593505859375,19.225829214845618
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,2250,5,0.09893465042114258,0.6012439727783203,True,v2,original_ranking,4,"[(0, 3), (0, 2), (0, 4), (0, 1)]",0,1.886108636856079,19.807765499076066
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,4447,5,0.09893465042114258,0.46471405029296875,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1330876350402832,11.45896684716684
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,2415,5,0.09893465042114258,0.5075662136077881,True,v2,original_ranking,4,"[(0, 4), (0, 1), (0, 3), (0, 2)]",0,1.8920471668243408,19.10653109909542
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,19.0,cancer,3595,5,0.09893465042114258,0.5152325630187988,True,v2,original_ranking,5,"[(1, 4), (0, 4), (0, 3), (0, 1), (0, 2)]",0,1.894751787185669,19.13674775276474
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,4187,5,0.09893465042114258,0.5108098983764648,True,v2,original_ranking,4,"[(0, 3), (0, 1), (0, 4), (0, 2)]",0,1.8784773349761963,18.88599120577329
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,4135,5,0.09893465042114258,0.5121917724609375,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 2), (0, 1)]",0,1.8872511386871338,19.28245286329518
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,cancer,5174,5,0.09893465042114258,0.5098505020141602,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,1.8736984729766846,20.849203269965145
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,5303,5,0.09893465042114258,0.5124661922454834,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 2), (0, 1)]",0,1.8816502094268799,20.2644789141587
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,cancer,3942,5,0.09893465042114258,0.472048282623291,True,v2,original_ranking,5,"[(2, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.2100894451141357,23.903485567743108
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,2778,5,0.09893465042114258,0.5115342140197754,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.894749402999878,18.497344873015297
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,2804,5,0.09893465042114258,0.461810827255249,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1418359279632568,11.574821137933899
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,2145,5,0.09893465042114258,0.5126242637634277,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.8816742897033691,19.64863587890845
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,150,5,0.09893465042114258,0.5067613124847412,True,v2,original_ranking,4,"[(0, 4), (0, 1), (0, 3), (0, 2)]",0,1.8743960857391357,18.816084025933144
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,8823,5,0.09893465042114258,0.508115291595459,True,v2,original_ranking,4,"[(0, 3), (0, 4), (0, 1), (0, 2)]",0,1.8745536804199219,18.976781493841045
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,4669,5,0.09893465042114258,0.503781795501709,True,v2,original_ranking,4,"[(0, 3), (0, 4), (0, 1), (0, 2)]",0,1.8990287780761719,19.53472453180374
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,6131,5,0.09893465042114258,0.4602196216583252,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1343915462493896,12.48251447627692
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,2617,5,0.09893465042114258,0.5082855224609375,True,v2,original_ranking,4,"[(0, 3), (0, 4), (0, 1), (0, 2)]",0,1.8984720706939697,18.4024899905844
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,cancer,7166,5,0.09893465042114258,0.4773430824279785,True,v2,original_ranking,5,"[(1, 3), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.1641476154327393,18.596435102493405
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,1428,5,0.09893465042114258,0.5154862403869629,True,v2,original_ranking,4,"[(0, 3), (0, 1), (0, 4), (0, 2)]",0,1.880253791809082,19.04198324491676
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,8328,5,0.09893465042114258,0.5053977966308594,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.894195795059204,19.56436013112032
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,8289,5,0.09893465042114258,0.5154001712799072,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 2), (0, 1)]",0,1.912766456604004,21.284795378977314
