nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,7816,5,12.206302881240845,0.9252512454986572,True,stand_alone_gradual,original_ranking,4,"[(2, 0), (1, 0), (4, 0), (3, 0)]",0,1.3377106189727783,21.245104067849834
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,7816,5,12.206302881240845,0.9252512454986572,True,stand_alone_gradual,refined_ranking,0,[],0,0.5314888954162598,3.9647355192103433
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,3578,5,12.206302881240845,0.9289135932922363,True,stand_alone_gradual,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0,1.331735372543335,20.714497729544444
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,3578,5,12.206302881240845,0.9289135932922363,True,stand_alone_gradual,refined_ranking,0,[],0,0.5478372573852539,4.364490073593566
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,2656,5,12.206302881240845,0.9193465709686279,True,stand_alone_gradual,original_ranking,3,"[(4, 0), (3, 0), (1, 0)]",0,0.6200215816497803,12.970898558540739
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2656,5,12.206302881240845,0.9193465709686279,True,stand_alone_gradual,refined_ranking,0,[],0,0.3837425708770752,3.8844583362526173
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2688,5,12.206302881240845,0.9293801784515381,True,stand_alone_gradual,original_ranking,4,"[(2, 0), (1, 0), (3, 0), (4, 0)]",0,1.3153817653656006,20.660267111275942
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2688,5,12.206302881240845,0.9293801784515381,True,stand_alone_gradual,refined_ranking,0,[],0,0.5436148643493652,4.801981793960582
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2494,5,12.206302881240845,0.9302144050598145,True,stand_alone_gradual,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0,1.3303754329681396,20.7727730518701
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2494,5,12.206302881240845,0.9302144050598145,True,stand_alone_gradual,refined_ranking,0,[],0,0.5486664772033691,4.490995474301181
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,183,5,12.206302881240845,0.9243042469024658,True,stand_alone_gradual,original_ranking,3,"[(4, 0), (3, 0), (1, 0)]",0,0.6097211837768555,12.473888911317365
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,183,5,12.206302881240845,0.9243042469024658,True,stand_alone_gradual,refined_ranking,0,[],0,0.37645626068115234,3.675400761419037
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,cancer,7977,5,12.206302881240845,0.9315688610076904,True,stand_alone_gradual,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (3, 0), (3, 4)]",0,1.3179469108581543,20.901731791872194
