nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
1,0.0,0.2,0.0,0.0,0.0,,4.0,6.0,12.0,random_graphs_n5_e5,7816,5,5,3,3,0,2,1,6,0.0339765548706054,0.0652375221252441,True,v2,original_ranking,1,"[(1, 4)]",0,0.0495502948760986,0.1848972105111112
1,0.0,0.2,0.0,0.0,0.0,,5.0,9.0,14.0,random_graphs_n5_e5,3578,5,5,3,3,0,2,1,6,0.0339765548706054,0.0663666725158691,True,v2,original_ranking,1,"[(1, 4)]",0,0.1108260154724121,2.02639235409739
3,0.6667,0.2,0.4,0.3333,0.2,0.25,4.0,17.0,18.0,random_graphs_n5_e5,2656,5,5,3,3,0,2,1,6,0.0339765548706054,0.0668582916259765,True,v2,original_ranking,3,"[(3, 0), (4, 1), (2, 1)]",0,0.0829899311065673,6.165053756017465
5,0.8,0.2,0.8,0.2,0.2,0.2,6.0,14.0,14.0,random_graphs_n5_e5,2688,5,5,3,3,0,2,1,6,0.0339765548706054,0.0681293010711669,True,v2,original_ranking,5,"[(4, 3), (2, 3), (0, 3), (4, 1), (2, 1)]",0,0.1151349544525146,11.976017745346915
1,0.0,0.2,0.0,0.0,0.0,,4.0,11.0,16.0,random_graphs_n5_e5,2494,5,5,3,3,0,2,1,6,0.0339765548706054,0.0681726932525634,False,v2,original_ranking,1,"[(3, 2)]",0,0.0422637462615966,5.560714001001002
5,0.4,0.6,0.4,0.2,0.2,0.2,7.0,11.0,12.0,random_graphs_n5_e5,183,5,5,3,3,0,2,1,6,0.0339765548706054,0.0683114528656005,True,v2,original_ranking,5,"[(2, 3), (0, 3), (4, 3), (1, 4), (1, 2)]",0,0.1207497119903564,13.10120652633834
2,1.0,0.0,0.4,0.0,0.0,,5.0,15.0,15.0,random_graphs_n5_e5,7977,5,5,3,3,0,2,1,6,0.0339765548706054,0.0673820972442627,False,v2,original_ranking,2,"[(0, 4), (1, 4)]",0,0.0705115795135498,0.2054729251285629
4,1.0,0.0,0.8,0.0,0.0,,8.0,11.0,13.0,random_graphs_n5_e5,3199,5,5,3,3,0,2,1,6,0.0339765548706054,0.0663995742797851,True,v2,original_ranking,4,"[(1, 0), (3, 4), (0, 4), (3, 0)]",0,0.1196761131286621,5.120891858921542
4,0.75,0.2,0.6,0.25,0.2,0.2222,6.0,12.0,12.0,random_graphs_n5_e5,316,5,5,3,3,0,2,1,6,0.0339765548706054,0.0683763027191162,True,v2,original_ranking,4,"[(1, 2), (0, 2), (3, 4), (1, 4)]",0,0.1009809970855712,-0.3426076417275063
2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,8.0,8.0,random_graphs_n5_e5,8266,5,5,3,3,0,2,1,6,0.0339765548706054,0.0677518844604492,True,v2,original_ranking,2,"[(2, 3), (0, 3)]",0,0.0685830116271972,4.490980939256529
