nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
5,0.4,0.6,0.4,0.6,0.6,0.6,4.0,4.0,random_graphs_n5_e5,7816,5,5,3,3,0,2,1,5,0.03818154335021973,0.07083678245544434,True,v2,original_ranking,5,"[(4, 3), (1, 3), (4, 0), (1, 0), (2, 0)]",0,0.056215524673461914,19.206784477886853
1,0.0,0.2,0.0,1.0,0.2,0.3333,4.0,7.0,random_graphs_n5_e5,3578,5,5,3,3,0,2,1,5,0.03818154335021973,0.06999969482421875,True,v2,original_ranking,1,"[(0, 2)]",0,0.049770355224609375,-1.0842661283142507
4,0.5,0.4,0.4,0.5,0.4,0.4444,5.0,6.0,random_graphs_n5_e5,2656,5,5,3,3,0,2,1,5,0.03818154335021973,0.0704655647277832,True,v2,original_ranking,4,"[(3, 4), (0, 4), (2, 0), (1, 4)]",0,0.044951438903808594,-3.174534679327617
4,0.75,0.2,0.6,0.25,0.2,0.2222,6.0,14.0,random_graphs_n5_e5,2688,5,5,3,3,0,2,1,5,0.03818154335021973,0.07202863693237305,True,v2,original_ranking,4,"[(4, 3), (2, 3), (0, 3), (4, 1)]",0,0.06126141548156738,9.85729735210894
0,0.0,0.0,0.0,,0.0,,5.0,12.0,random_graphs_n5_e5,2494,5,5,3,3,0,2,1,5,0.03818154335021973,0.07107663154602051,False,v2,original_ranking,0,[],0,0.023021936416625977,3.560714001001001
5,0.6,0.4,0.6,0.4,0.4,0.4,6.0,11.0,random_graphs_n5_e5,183,5,5,3,3,0,2,1,5,0.03818154335021973,0.06990957260131836,True,v2,original_ranking,5,"[(1, 3), (0, 3), (2, 3), (4, 3), (4, 1)]",0,0.07121443748474121,8.855747585454166
1,1.0,0.0,0.2,0.0,0.0,,6.0,13.0,random_graphs_n5_e5,7977,5,5,3,3,0,2,1,5,0.03818154335021973,0.0678415298461914,True,v2,original_ranking,1,"[(3, 0)]",0,0.040752410888671875,-8.674176081892554
4,0.75,0.2,0.6,0.25,0.2,0.2222,6.0,12.0,random_graphs_n5_e5,3199,5,5,3,3,0,2,1,5,0.03818154335021973,0.07603669166564941,True,v2,original_ranking,4,"[(3, 4), (2, 4), (1, 4), (3, 0)]",0,0.06188154220581055,4.610502528062083
3,0.6667,0.2,0.4,0.3333,0.2,0.25,5.0,9.0,random_graphs_n5_e5,316,5,5,3,3,0,2,1,5,0.03818154335021973,0.07108068466186523,True,v2,original_ranking,3,"[(2, 0), (1, 0), (4, 0)]",0,0.05138087272644043,-0.2386948174826915
1,0.0,0.2,0.0,1.0,0.2,0.3333,4.0,9.0,random_graphs_n5_e5,8266,5,5,3,3,0,2,1,5,0.03818154335021973,0.07091999053955078,True,v2,original_ranking,1,"[(2, 3)]",0,0.03619241714477539,-2.988364806337339
2,1.0,0.0,0.4,0.0,0.0,,6.0,12.0,random_graphs_n5_e5,1532,5,5,3,3,0,2,1,5,0.03818154335021973,0.07054519653320312,True,v2,original_ranking,2,"[(4, 1), (2, 1)]",0,0.044654130935668945,-0.5209926248958674
2,1.0,0.0,0.4,0.0,0.0,,5.0,19.0,random_graphs_n5_e5,1009,5,5,3,3,0,2,1,5,0.03818154335021973,0.071380615234375,True,v2,original_ranking,2,"[(2, 1), (4, 1)]",0,0.02649688720703125,7.205453733698498
4,0.75,0.2,0.6,0.25,0.2,0.2222,7.0,6.0,random_graphs_n5_e5,2250,5,5,3,3,0,2,1,5,0.03818154335021973,0.07062625885009766,True,v2,original_ranking,4,"[(3, 2), (4, 2), (1, 2), (2, 0)]",0,0.05807375907897949,4.08233509353893
3,0.6667,0.2,0.4,0.3333,0.2,0.25,4.0,16.0,random_graphs_n5_e5,4447,5,5,3,3,0,2,1,5,0.03818154335021973,0.07069730758666992,True,v2,original_ranking,3,"[(2, 3), (0, 3), (1, 4)]",0,0.026264667510986328,9.456230753328583
1,0.0,0.2,0.0,1.0,0.2,0.3333,4.0,11.0,random_graphs_n5_e5,2415,5,5,3,3,0,2,1,5,0.03818154335021973,0.0701746940612793,True,v2,original_ranking,1,"[(3, 0)]",0,0.04283905029296875,0.9022111105274364
4,1.0,0.0,0.8,0.0,0.0,,8.0,18.0,random_graphs_n5_e5,3595,5,5,3,3,0,2,1,5,0.03818154335021973,0.07082438468933105,True,v2,original_ranking,4,"[(4, 2), (1, 2), (0, 2), (3, 4)]",0,0.06461048126220703,-1.2781881083437132
3,0.6667,0.2,0.4,0.3333,0.2,0.25,4.0,17.0,random_graphs_n5_e5,4187,5,5,3,3,0,2,1,5,0.03818154335021973,0.07125735282897949,True,v2,original_ranking,3,"[(1, 4), (0, 3), (2, 4)]",0,0.040819644927978516,6.412376840135353
0,0.0,0.0,0.0,,0.0,,5.0,13.0,random_graphs_n5_e5,4135,5,5,3,3,0,2,1,5,0.03818154335021973,0.0704953670501709,True,v2,original_ranking,0,[],0,0.03727078437805176,-6.629236778019733
1,0.0,0.2,0.0,1.0,0.2,0.3333,4.0,7.0,random_graphs_n5_e5,5174,5,5,3,3,0,2,1,5,0.03818154335021973,0.06424856185913086,False,v2,original_ranking,1,"[(3, 2)]",0,0.04166579246520996,-6.22595150242344
1,1.0,0.0,0.2,0.0,0.0,,5.0,12.0,random_graphs_n5_e5,5303,5,5,3,3,0,2,1,5,0.03818154335021973,0.06897091865539551,True,v2,original_ranking,1,"[(1, 4)]",0,0.04102039337158203,-1.4527030295637537
4,0.75,0.2,0.6,0.25,0.2,0.2222,6.0,12.0,random_graphs_n5_e5,3942,5,5,3,3,0,2,1,5,0.03818154335021973,0.06994175910949707,True,v2,original_ranking,4,"[(4, 2), (0, 2), (1, 2), (4, 3)]",0,0.06910943984985352,2.0173250315447726
5,0.8,0.2,0.8,0.2,0.2,0.2,8.0,10.0,random_graphs_n5_e5,2778,5,5,3,3,0,2,1,5,0.03818154335021973,0.07802820205688477,True,v2,original_ranking,5,"[(2, 4), (1, 4), (3, 4), (3, 0), (2, 0)]",0,0.0652463436126709,1.036005216356191
2,1.0,0.0,0.4,0.0,0.0,,6.0,14.0,random_graphs_n5_e5,2804,5,5,3,3,0,2,1,5,0.03818154335021973,0.06943035125732422,True,v2,original_ranking,2,"[(0, 4), (2, 3)]",0,0.06041073799133301,-2.7662687492724194
3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,6.0,random_graphs_n5_e5,2145,5,5,3,3,0,2,1,5,0.03818154335021973,0.07216215133666992,True,v2,original_ranking,3,"[(0, 2), (3, 2), (2, 4)]",0,0.05950212478637695,15.23807706923607
5,1.0,0.0,1.0,0.0,0.0,,6.0,17.0,random_graphs_n5_e5,150,5,5,3,3,0,2,1,5,0.03818154335021973,0.1870570182800293,True,v2,original_ranking,5,"[(4, 2), (4, 1), (3, 2), (0, 1), (3, 4)]",0,0.0455012321472168,8.995833860961124
1,1.0,0.0,0.2,0.0,0.0,,6.0,14.0,random_graphs_n5_e5,8823,5,5,3,3,0,2,1,5,0.03818154335021973,0.06759405136108398,False,v2,original_ranking,1,"[(4, 3)]",0,0.04017043113708496,-8.689709577918444
