nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,9.0,15.0,22.0,random_graphs_n6_e6,7816,6,6,5,5,2,4,3,10,2.052030324935913,6.742344856262207,True,v2,original_ranking,6,"[(1, 3), (5, 2), (1, 2), (5, 4), (5, 3), (5, 0)]",0,2.811924695968628,14.616278555561507
4,0.5,0.3333,0.2222,0.5,0.3333,0.4,5.0,7.0,7.0,random_graphs_n6_e6,3578,6,6,5,5,2,4,3,10,2.052030324935913,6.990647554397583,True,v2,original_ranking,4,"[(0, 4), (3, 4), (5, 4), (1, 4)]",0,2.5324742794036865,21.6937553297482
6,0.5,0.5,0.3333,0.3333,0.3333,0.3333,6.0,5.0,10.0,random_graphs_n6_e6,2656,6,6,5,5,2,4,3,10,2.052030324935913,6.399479150772095,True,v2,original_ranking,6,"[(5, 3), (1, 3), (5, 2), (1, 2), (0, 2), (5, 0)]",0,2.649571418762207,26.01541031016559
6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,10.0,8.0,8.0,random_graphs_n6_e6,2688,6,6,5,5,2,4,3,10,2.052030324935913,6.670536756515503,True,v2,original_ranking,6,"[(3, 0), (3, 1), (2, 1), (3, 4), (2, 4), (3, 5)]",0,2.9325952529907227,28.700406427500756
3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,6.0,12.0,17.0,random_graphs_n6_e6,2494,6,6,5,5,2,4,3,10,2.052030324935913,7.062917709350586,True,v2,original_ranking,3,"[(0, 4), (1, 4), (5, 2)]",0,2.5427985191345215,10.831900609342926
4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,18.0,24.0,random_graphs_n6_e6,183,6,6,5,5,2,4,3,10,2.052030324935913,6.988204479217529,True,v2,original_ranking,4,"[(3, 0), (5, 0), (5, 4), (5, 2)]",0,2.1446285247802734,16.911047216752202
3,0.0,0.5,0.0,1.0,0.5,0.6667,3.0,5.0,10.0,random_graphs_n6_e6,7977,6,6,5,5,2,4,3,10,2.052030324935913,7.114101409912109,True,v2,original_ranking,3,"[(5, 4), (0, 3), (0, 4)]",0,1.322643518447876,12.053559996605049
7,1.0,0.0,0.7778,0.0,0.0,,11.0,14.0,14.0,random_graphs_n6_e6,3199,6,6,5,5,2,4,3,10,2.052030324935913,6.460689306259155,True,v2,original_ranking,7,"[(4, 5), (0, 5), (0, 1), (3, 5), (2, 4), (3, 1), (2, 1)]",0,2.552229881286621,12.8872473894424
5,0.6,0.3333,0.3333,0.0,0.0,,8.0,9.0,20.0,random_graphs_n6_e6,316,6,6,5,5,2,4,3,10,2.052030324935913,6.5422587394714355,True,v2,original_ranking,5,"[(2, 5), (3, 5), (4, 5), (2, 0), (4, 1)]",0,3.312814235687256,19.660500472053762
2,0.5,0.1667,0.1111,0.5,0.1667,0.25,5.0,14.0,14.0,random_graphs_n6_e6,8266,6,6,5,5,2,4,3,10,2.052030324935913,7.085310459136963,True,v2,original_ranking,2,"[(0, 3), (5, 3)]",0,1.0511629581451416,10.34883175938014
7,0.7143,0.3333,0.5556,0.2857,0.3333,0.3077,8.0,17.0,21.0,random_graphs_n6_e6,1532,6,6,5,5,2,4,3,10,2.052030324935913,6.956374406814575,True,v2,original_ranking,7,"[(5, 1), (4, 1), (0, 3), (1, 2), (3, 2), (5, 2), (4, 2)]",0,2.9387753009796143,23.690484215249576
6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,9.0,7.0,12.0,random_graphs_n6_e6,1009,6,6,5,5,2,4,3,10,2.052030324935913,7.0734193325042725,True,v2,original_ranking,6,"[(4, 2), (3, 2), (4, 0), (2, 0), (4, 5), (1, 0)]",0,2.445552349090576,2.5761026146383195
6,0.5,0.5,0.3333,0.1667,0.1667,0.1667,8.0,7.0,16.0,random_graphs_n6_e6,2250,6,6,5,5,2,4,3,10,2.052030324935913,7.076758146286011,True,v2,original_ranking,6,"[(3, 4), (1, 5), (0, 5), (4, 2), (1, 4), (1, 3)]",0,2.876293897628784,21.01491107145686
6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,10.0,18.0,22.0,random_graphs_n6_e6,4447,6,6,5,5,2,4,3,10,2.052030324935913,6.301010608673096,True,v2,original_ranking,6,"[(2, 3), (5, 2), (1, 2), (5, 4), (3, 4), (3, 0)]",0,3.373197317123413,20.5610729158324
4,0.75,0.1667,0.3333,0.25,0.1667,0.2,6.0,19.0,19.0,random_graphs_n6_e6,2415,6,6,5,5,2,4,3,10,2.052030324935913,7.2177348136901855,True,v2,original_ranking,4,"[(5, 4), (1, 4), (5, 3), (2, 3)]",0,1.8812108039855957,17.331958566940422
6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,10.0,20.0,26.0,random_graphs_n6_e6,3595,6,6,5,5,2,4,3,10,2.052030324935913,7.170668840408325,True,v2,original_ranking,6,"[(2, 5), (0, 5), (2, 3), (4, 5), (4, 0), (1, 0)]",0,2.1497766971588135,9.513940001242718
7,0.7143,0.3333,0.5556,0.2857,0.3333,0.3077,9.0,26.0,27.0,random_graphs_n6_e6,4187,6,6,5,5,2,4,3,10,2.052030324935913,6.7625322341918945,True,v2,original_ranking,7,"[(5, 4), (2, 4), (1, 4), (3, 0), (5, 3), (0, 2), (1, 2)]",0,3.478945255279541,29.94772249180786
2,0.0,0.3333,0.0,0.5,0.1667,0.25,4.0,9.0,21.0,random_graphs_n6_e6,4135,6,6,5,5,2,4,3,10,2.052030324935913,7.245243549346924,True,v2,original_ranking,2,"[(4, 1), (3, 2)]",0,0.9521243572235107,11.195958330914157
5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,8.0,11.0,11.0,random_graphs_n6_e6,5174,6,6,5,5,2,4,3,10,2.052030324935913,7.105858087539673,True,v2,original_ranking,5,"[(0, 4), (4, 3), (0, 3), (1, 3), (5, 4)]",0,2.1425766944885254,16.93713099945308
