nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,7816,5,4,5,5,2,4,3,10,0.12264823913574219,0.5846273899078369,True,v2,original_ranking,4,"[(2, 0), (1, 0), (4, 0), (3, 0)]",0.008569002151489258,1.9325878620147705,21.245104067849834
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,3578,5,4,5,5,2,4,3,10,0.12264823913574219,0.6013524532318115,True,v2,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0.0079803466796875,1.9591355323791504,20.714497729544444
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,11.0,cancer,2656,5,4,5,5,2,4,3,10,0.12264823913574219,0.5824086666107178,True,v2,original_ranking,3,"[(4, 0), (3, 0), (0, 1)]",0.004755973815917969,1.1401844024658203,11.314269935580253
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,2688,5,4,5,5,2,4,3,10,0.12264823913574219,0.5822551250457764,True,v2,original_ranking,4,"[(4, 0), (3, 0), (1, 0), (0, 2)]",0.007966756820678711,1.9155454635620117,18.767521510782146
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2494,5,4,5,5,2,4,3,10,0.12264823913574219,0.5879578590393066,True,v2,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0.007858753204345703,1.9442591667175293,20.7727730518701
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,183,5,4,5,5,2,4,3,10,0.12264823913574219,0.5911986827850342,True,v2,original_ranking,3,"[(3, 0), (1, 0), (4, 0)]",0.004770517349243164,1.1646573543548584,12.473888911317365
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,14.0,cancer,7977,5,4,5,5,2,4,3,10,0.12264823913574219,0.5946829319000244,True,v2,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (3, 0), (3, 4)]",0.008016824722290039,1.718374490737915,20.901731791872194
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,3199,5,4,5,5,2,4,3,10,0.12264823913574219,0.6030087471008301,True,v2,original_ranking,3,"[(3, 0), (1, 0), (4, 0)]",0.0047566890716552734,1.1434757709503174,12.257102605310969
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,316,5,4,5,5,2,4,3,10,0.12264823913574219,0.6013565063476562,True,v2,original_ranking,4,"[(4, 0), (2, 0), (3, 0), (1, 0)]",0.007734060287475586,1.4712483882904053,20.602028429515425
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,8266,5,4,5,5,2,4,3,10,0.12264823913574219,0.6003711223602295,True,v2,original_ranking,4,"[(3, 0), (2, 0), (4, 0), (1, 0)]",0.008020162582397461,1.496112585067749,20.683273840009477
