nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,7816,3,3,3,3,0,2,1,10,0.005531787872314453,0.006966829299926758,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0024569034576416016,0.0649406909942627,4.499999999432498
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,3578,3,3,3,3,0,2,1,10,0.005531787872314453,0.008027315139770508,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.0021736621856689453,0.06401753425598145,3.5040653517348526
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,2656,3,3,3,3,0,2,1,10,0.005531787872314453,0.007834672927856445,True,v2,original_ranking,2,"[(2, 0), (1, 0)]",0.002151966094970703,0.06362533569335938,4.243564655310345
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,2688,3,3,3,3,0,2,1,10,0.005531787872314453,0.0068874359130859375,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020546913146972656,0.06322598457336426,4.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,2494,3,3,3,3,0,2,1,10,0.005531787872314453,0.006889820098876953,True,v2,original_ranking,3,"[(0, 2), (1, 2), (0, 1)]",0.0020339488983154297,0.06289482116699219,4.4999999806142075
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n3_e3,183,3,3,3,3,0,2,1,10,0.005531787872314453,0.0068128108978271484,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020415782928466797,0.06284403800964355,4.4998715194696075
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,random_graphs_n3_e3,7977,3,3,3,3,0,2,1,10,0.005531787872314453,0.007829427719116211,True,v2,original_ranking,2,"[(1, 2), (0, 1)]",0.002110004425048828,0.06323647499084473,4.2627013522253545
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n3_e3,3199,3,3,3,3,0,2,1,10,0.005531787872314453,0.006829977035522461,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002013683319091797,0.06236743927001953,4.499999993989775
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,random_graphs_n3_e3,316,3,3,3,3,0,2,1,10,0.005531787872314453,0.007787942886352539,True,v2,original_ranking,1,"[(0, 2)]",0.0015397071838378906,0.05248546600341797,2.370315719698346
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,random_graphs_n3_e3,8266,3,3,3,3,0,2,1,10,0.005531787872314453,0.00776982307434082,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.002082347869873047,0.06337714195251465,3.0508700189959255
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,1532,3,3,3,3,0,2,1,10,0.005531787872314453,0.006815910339355469,True,v2,original_ranking,3,"[(0, 2), (1, 2), (0, 1)]",0.0020287036895751953,0.06294870376586914,4.393446066366431
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,random_graphs_n3_e3,1009,3,3,3,3,0,2,1,10,0.005531787872314453,0.0068700313568115234,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020284652709960938,0.06255316734313965,4.499983373608458
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,2250,3,3,3,3,0,2,1,10,0.005531787872314453,0.0077478885650634766,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002249479293823242,0.07182908058166504,4.499999995200895
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,4447,3,3,3,3,0,2,1,10,0.005531787872314453,0.006835222244262695,True,v2,original_ranking,3,"[(0, 1), (1, 2), (0, 2)]",0.0020258426666259766,0.06246066093444824,4.357397391388103
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,2415,3,3,3,3,0,2,1,10,0.005531787872314453,0.006845951080322266,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020134449005126953,0.06255388259887695,4.3640030127876885
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,3595,3,3,3,3,0,2,1,10,0.005531787872314453,0.006800174713134766,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002044200897216797,0.06293869018554688,4.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,random_graphs_n3_e3,4187,3,3,3,3,0,2,1,10,0.005531787872314453,0.007714986801147461,True,v2,original_ranking,2,"[(2, 0), (1, 0)]",0.0020749568939208984,0.06310105323791504,3.0552510165786972
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,4135,3,3,3,3,0,2,1,10,0.005531787872314453,0.015283823013305664,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020532608032226562,0.06320309638977051,4.499999402172612
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,5174,3,3,3,3,0,2,1,10,0.005531787872314453,0.007814407348632812,True,v2,original_ranking,2,"[(2, 0), (1, 0)]",0.002131223678588867,0.06320714950561523,4.211585956860715
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,5303,3,3,3,3,0,2,1,10,0.005531787872314453,0.0077877044677734375,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.002107858657836914,0.0632321834564209,4.089948264733501
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,random_graphs_n3_e3,3942,3,3,3,3,0,2,1,10,0.005531787872314453,0.00686955451965332,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020225048065185547,0.0628209114074707,4.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,random_graphs_n3_e3,2778,3,3,3,3,0,2,1,10,0.005531787872314453,0.007782459259033203,True,v2,original_ranking,2,"[(2, 0), (1, 2)]",0.00208282470703125,0.06289196014404297,4.288280162737667
